,f0,fname,folder,len,pitch_mod,sentence,voice
60,155.0,Salli/3_155.mp3,Salli,18.02403628117914,-3.0,3.0,Salli_155
61,158.0,Salli/3_158.mp3,Salli,18.02403628117914,-2.6842105263157894,3.0,Salli_158
62,160.0,Salli/3_160.mp3,Salli,18.02403628117914,-2.3684210526315788,3.0,Salli_160
63,163.0,Salli/3_163.mp3,Salli,18.02403628117914,-2.0526315789473686,3.0,Salli_163
64,165.0,Salli/3_165.mp3,Salli,18.02403628117914,-1.736842105263158,3.0,Salli_165
65,167.0,Salli/3_167.mp3,Salli,18.02403628117914,-1.4210526315789473,3.0,Salli_167
66,171.0,Salli/3_171.mp3,Salli,18.02403628117914,-1.105263157894737,3.0,Salli_171
67,171.0,Salli/3_171.mp3,Salli,18.02403628117914,-0.7894736842105265,3.0,Salli_171
68,174.0,Salli/3_174.mp3,Salli,18.02403628117914,-0.47368421052631593,3.0,Salli_174
69,176.0,Salli/3_176.mp3,Salli,18.02403628117914,-0.1578947368421053,3.0,Salli_176
70,177.0,Salli/3_177.mp3,Salli,18.02403628117914,0.1578947368421053,3.0,Salli_177
71,176.0,Salli/3_176.mp3,Salli,18.02403628117914,0.4736842105263155,3.0,Salli_176
72,173.0,Salli/3_173.mp3,Salli,18.02403628117914,0.7894736842105261,3.0,Salli_173
73,172.0,Salli/3_172.mp3,Salli,18.02403628117914,1.1052631578947363,3.0,Salli_172
74,164.0,Salli/3_164.mp3,Salli,18.02403628117914,1.421052631578947,3.0,Salli_164
75,160.0,Salli/3_160.mp3,Salli,18.02403628117914,1.7368421052631575,3.0,Salli_160
76,153.0,Salli/3_153.mp3,Salli,18.02403628117914,2.052631578947368,3.0,Salli_153
77,147.0,Salli/3_147.mp3,Salli,18.02403628117914,2.3684210526315788,3.0,Salli_147
78,130.0,Salli/3_130.mp3,Salli,18.02403628117914,2.6842105263157894,3.0,Salli_130
79,124.0,Salli/3_124.mp3,Salli,18.02403628117914,3.0,3.0,Salli_124
80,156.0,Salli/4_156.mp3,Salli,15.36,-3.0,4.0,Salli_156
81,160.0,Salli/4_160.mp3,Salli,15.36,-2.6842105263157894,4.0,Salli_160
82,162.0,Salli/4_162.mp3,Salli,15.36,-2.3684210526315788,4.0,Salli_162
83,164.0,Salli/4_164.mp3,Salli,15.36,-2.0526315789473686,4.0,Salli_164
84,164.0,Salli/4_164.mp3,Salli,15.36,-1.736842105263158,4.0,Salli_164
85,167.0,Salli/4_167.mp3,Salli,15.36,-1.4210526315789473,4.0,Salli_167
86,168.0,Salli/4_168.mp3,Salli,15.36,-1.105263157894737,4.0,Salli_168
87,170.0,Salli/4_170.mp3,Salli,15.36,-0.7894736842105265,4.0,Salli_170
88,169.0,Salli/4_169.mp3,Salli,15.36,-0.47368421052631593,4.0,Salli_169
89,172.0,Salli/4_172.mp3,Salli,15.36,-0.1578947368421053,4.0,Salli_172
90,173.0,Salli/4_173.mp3,Salli,15.36,0.1578947368421053,4.0,Salli_173
91,171.0,Salli/4_171.mp3,Salli,15.36,0.4736842105263155,4.0,Salli_171
92,172.0,Salli/4_172.mp3,Salli,15.36,0.7894736842105261,4.0,Salli_172
93,165.0,Salli/4_165.mp3,Salli,15.36,1.1052631578947363,4.0,Salli_165
94,157.0,Salli/4_157.mp3,Salli,15.36,1.421052631578947,4.0,Salli_157
95,148.0,Salli/4_148.mp3,Salli,15.36,1.7368421052631575,4.0,Salli_148
96,142.0,Salli/4_142.mp3,Salli,15.36,2.052631578947368,4.0,Salli_142
97,135.0,Salli/4_135.mp3,Salli,15.36,2.3684210526315788,4.0,Salli_135
98,128.0,Salli/4_128.mp3,Salli,15.36,2.6842105263157894,4.0,Salli_128
99,126.0,Salli/4_126.mp3,Salli,15.36,3.0,4.0,Salli_126
100,156.0,Salli/5_156.mp3,Salli,16.896009070294784,-3.0,5.0,Salli_156
101,159.0,Salli/5_159.mp3,Salli,16.896009070294784,-2.6842105263157894,5.0,Salli_159
102,162.0,Salli/5_162.mp3,Salli,16.896009070294784,-2.3684210526315788,5.0,Salli_162
103,164.0,Salli/5_164.mp3,Salli,16.896009070294784,-2.0526315789473686,5.0,Salli_164
104,167.0,Salli/5_167.mp3,Salli,16.896009070294784,-1.736842105263158,5.0,Salli_167
105,169.0,Salli/5_169.mp3,Salli,16.896009070294784,-1.4210526315789473,5.0,Salli_169
106,172.0,Salli/5_172.mp3,Salli,16.896009070294784,-1.105263157894737,5.0,Salli_172
107,174.0,Salli/5_174.mp3,Salli,16.896009070294784,-0.7894736842105265,5.0,Salli_174
108,175.0,Salli/5_175.mp3,Salli,16.896009070294784,-0.47368421052631593,5.0,Salli_175
109,175.0,Salli/5_175.mp3,Salli,16.896009070294784,-0.1578947368421053,5.0,Salli_175
110,175.0,Salli/5_175.mp3,Salli,16.896009070294784,0.1578947368421053,5.0,Salli_175
111,175.0,Salli/5_175.mp3,Salli,16.896009070294784,0.4736842105263155,5.0,Salli_175
112,173.0,Salli/5_173.mp3,Salli,16.896009070294784,0.7894736842105261,5.0,Salli_173
113,166.0,Salli/5_166.mp3,Salli,16.896009070294784,1.1052631578947363,5.0,Salli_166
114,159.0,Salli/5_159.mp3,Salli,16.896009070294784,1.421052631578947,5.0,Salli_159
115,153.0,Salli/5_153.mp3,Salli,16.896009070294784,1.7368421052631575,5.0,Salli_153
116,153.0,Salli/5_153.mp3,Salli,16.896009070294784,2.052631578947368,5.0,Salli_153
117,145.0,Salli/5_145.mp3,Salli,16.896009070294784,2.3684210526315788,5.0,Salli_145
118,139.0,Salli/5_139.mp3,Salli,16.896009070294784,2.6842105263157894,5.0,Salli_139
119,126.0,Salli/5_126.mp3,Salli,16.896009070294784,3.0,5.0,Salli_126
120,125.0,Joanna/0_125.mp3,Joanna,12.528027210884353,-3.0,0.0,Joanna_125
121,128.0,Joanna/0_128.mp3,Joanna,12.528027210884353,-2.6842105263157894,0.0,Joanna_128
122,129.0,Joanna/0_129.mp3,Joanna,12.528027210884353,-2.3684210526315788,0.0,Joanna_129
123,132.0,Joanna/0_132.mp3,Joanna,12.528027210884353,-2.0526315789473686,0.0,Joanna_132
124,133.0,Joanna/0_133.mp3,Joanna,12.528027210884353,-1.736842105263158,0.0,Joanna_133
125,135.0,Joanna/0_135.mp3,Joanna,12.528027210884353,-1.4210526315789473,0.0,Joanna_135
126,137.0,Joanna/0_137.mp3,Joanna,12.528027210884353,-1.105263157894737,0.0,Joanna_137
127,139.0,Joanna/0_139.mp3,Joanna,12.528027210884353,-0.7894736842105265,0.0,Joanna_139
128,141.0,Joanna/0_141.mp3,Joanna,12.528027210884353,-0.47368421052631593,0.0,Joanna_141
129,143.0,Joanna/0_143.mp3,Joanna,12.528027210884353,-0.1578947368421053,0.0,Joanna_143
130,144.0,Joanna/0_144.mp3,Joanna,12.528027210884353,0.1578947368421053,0.0,Joanna_144
131,147.0,Joanna/0_147.mp3,Joanna,12.528027210884353,0.4736842105263155,0.0,Joanna_147
132,147.0,Joanna/0_147.mp3,Joanna,12.528027210884353,0.7894736842105261,0.0,Joanna_147
133,148.0,Joanna/0_148.mp3,Joanna,12.528027210884353,1.1052631578947363,0.0,Joanna_148
134,149.0,Joanna/0_149.mp3,Joanna,12.528027210884353,1.421052631578947,0.0,Joanna_149
135,152.0,Joanna/0_152.mp3,Joanna,12.528027210884353,1.7368421052631575,0.0,Joanna_152
136,155.0,Joanna/0_155.mp3,Joanna,12.528027210884353,2.052631578947368,0.0,Joanna_155
137,157.0,Joanna/0_157.mp3,Joanna,12.528027210884353,2.3684210526315788,0.0,Joanna_157
138,159.0,Joanna/0_159.mp3,Joanna,12.528027210884353,2.6842105263157894,0.0,Joanna_159
139,160.0,Joanna/0_160.mp3,Joanna,12.528027210884353,3.0,0.0,Joanna_160
140,120.0,Joanna/1_120.mp3,Joanna,12.312018140589569,-3.0,1.0,Joanna_120
141,123.0,Joanna/1_123.mp3,Joanna,12.312018140589569,-2.6842105263157894,1.0,Joanna_123
142,124.0,Joanna/1_124.mp3,Joanna,12.312018140589569,-2.3684210526315788,1.0,Joanna_124
143,127.0,Joanna/1_127.mp3,Joanna,12.312018140589569,-2.0526315789473686,1.0,Joanna_127
144,129.0,Joanna/1_129.mp3,Joanna,12.312018140589569,-1.736842105263158,1.0,Joanna_129
145,130.0,Joanna/1_130.mp3,Joanna,12.312018140589569,-1.4210526315789473,1.0,Joanna_130
146,132.0,Joanna/1_132.mp3,Joanna,12.312018140589569,-1.105263157894737,1.0,Joanna_132
147,134.0,Joanna/1_134.mp3,Joanna,12.312018140589569,-0.7894736842105265,1.0,Joanna_134
148,136.0,Joanna/1_136.mp3,Joanna,12.312018140589569,-0.47368421052631593,1.0,Joanna_136
149,138.0,Joanna/1_138.mp3,Joanna,12.312018140589569,-0.1578947368421053,1.0,Joanna_138
150,139.0,Joanna/1_139.mp3,Joanna,12.312018140589569,0.1578947368421053,1.0,Joanna_139
151,141.0,Joanna/1_141.mp3,Joanna,12.312018140589569,0.4736842105263155,1.0,Joanna_141
152,144.0,Joanna/1_144.mp3,Joanna,12.312018140589569,0.7894736842105261,1.0,Joanna_144
153,148.0,Joanna/1_148.mp3,Joanna,12.312018140589569,1.1052631578947363,1.0,Joanna_148
154,148.0,Joanna/1_148.mp3,Joanna,12.312018140589569,1.421052631578947,1.0,Joanna_148
155,151.0,Joanna/1_151.mp3,Joanna,12.312018140589569,1.7368421052631575,1.0,Joanna_151
156,153.0,Joanna/1_153.mp3,Joanna,12.312018140589569,2.052631578947368,1.0,Joanna_153
157,156.0,Joanna/1_156.mp3,Joanna,12.312018140589569,2.3684210526315788,1.0,Joanna_156
158,154.0,Joanna/1_154.mp3,Joanna,12.312018140589569,2.6842105263157894,1.0,Joanna_154
159,158.0,Joanna/1_158.mp3,Joanna,12.312018140589569,3.0,1.0,Joanna_158
160,124.0,Joanna/2_124.mp3,Joanna,10.776009070294785,-3.0,2.0,Joanna_124
161,126.0,Joanna/2_126.mp3,Joanna,10.776009070294785,-2.6842105263157894,2.0,Joanna_126
162,129.0,Joanna/2_129.mp3,Joanna,10.776009070294785,-2.3684210526315788,2.0,Joanna_129
163,131.0,Joanna/2_131.mp3,Joanna,10.776009070294785,-2.0526315789473686,2.0,Joanna_131
164,133.0,Joanna/2_133.mp3,Joanna,10.776009070294785,-1.736842105263158,2.0,Joanna_133
165,135.0,Joanna/2_135.mp3,Joanna,10.776009070294785,-1.4210526315789473,2.0,Joanna_135
166,138.0,Joanna/2_138.mp3,Joanna,10.776009070294785,-1.105263157894737,2.0,Joanna_138
167,140.0,Joanna/2_140.mp3,Joanna,10.776009070294785,-0.7894736842105265,2.0,Joanna_140
